Bạn đang ở loại hình nào? ,"Số người ở trong phòng là bao nhiêu? (Số)
","Diện tích phòng của bạn là bao nhiêu m^2? (Điền số)
",  Phòng của bạn nằm ở tầng mấy?  ,  Phòng có bị nắng chiếu trực tiếp nhiều không?  ,  Phòng có cửa sổ/ban công thông thoáng không?  ,Phòng bạn có máy lạnh không?  ,"Nếu có, phòng bạn có bao nhiêu máy lạnh?  ",  Bạn thường để máy lạnh ở mức nhiệt độ bao nhiêu?  ,  Trung bình mỗi ngày bạn bật máy lạnh bao nhiêu giờ?  ,Phòng bạn có bao nhiêu quạt?  (số),  Trung bình mỗi ngày bạn bật quạt bao nhiêu giờ?  ,  Phòng bạn có tủ lạnh không?  ,Phòng bạn có sử dụng bếp điện/bếp từ/nồi cơm điện không? ,  Phòng bạn có máy giặt không?  ,  Trung bình một tuần bạn giặt máy bao nhiêu lần?  ,  Phòng bạn có bình nóng lạnh/máy nước nóng không?  ,  Trung bình mỗi ngày dùng bình nóng lạnh bao lâu?  ,  Bạn có sử dụng máy tính bàn/laptop thường xuyên không?  ,  Các thiết bị khác bạn đang sử dụng  ,  Bạn thường ở phòng vào thời gian nào trong ngày?  ,Trung bình mỗi ngày bạn ở phòng khoảng bao nhiêu giờ?  ,Bạn có thường xuyên học/làm việc online tại phòng không?  ,Bạn có thói quen tắt thiết bị điện khi không sử dụng không?  ,Mức độ sử dụng điện của bạn vào mùa nóng so với bình thường  ,Tiền điện tháng gần nhất của phòng bạn là bao nhiêu?  (VND/tháng),  Số kWh điện tháng gần nhất là bao nhiêu? (kWh) (Không biết có thể bỏ qua),  Giá điện bạn đang trả là bao nhiêu tiền/kWh?  ,Công tơ điện của bạn là loại nào?  , Tiền điện này là của tháng nào?  ,"  Trong tháng đó, bạn có ở phòng đủ cả tháng không?  "
Phòng trọ,1,12,Tầng trệt,Có,Không có,Không,0,Không dùng máy lạnh,0 giờ,1,6–8 giờ,Không,Không sử dụng,Không,0 lần,Không,Không dùng,2–4 giờ/ngày,Đèn LED,Chủ yếu buổi tối,Dưới 4 giờ,Không,Thường xuyên,Không thay đổi,210000,52,3.000–3.500đ/kWh,Công tơ chung với phòng khác,Tháng 4,"Không, ở khoảng 3 tuần"
Nhà nguyên căn,4,70,Tầng 2,Có,"Có, thông thoáng bình thường",Có,2,27–28°C,4–6 giờ,5,Trên 8 giờ,Có tủ lạnh lớn,"Có, sử dụng thường xuyên",Có,5 lần trở lên,Có,30–60 phút,2–4 giờ/ngày,"Đèn LED, Tivi, Loa, Máy sấy tóc",Không cố định,12–16 giờ,Thường xuyên,Thường xuyên,Tăng nhiều,2400000,520,3.500–4.000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,20,Tầng 3,Không,Rất thông thoáng,Có,1,24–26°C,2–4 giờ,1,4–6 giờ,Có tủ lạnh mini,"Có, nhưng ít",Có,1–2 lần,Có,Dưới 15 phút,Trên 6 giờ/ngày,"Đèn LED, Ấm siêu tốc",Cả ngày,12–16 giờ,Gần như mỗi ngày,Luôn luôn,Tăng nhẹ,880000,180,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,20,Tầng 3,Không,Rất thông thoáng,Có,1,24–26°C,2–4 giờ,1,4–6 giờ,Có tủ lạnh mini,"Có, nhưng ít",Có,1–2 lần,Có,Dưới 15 phút,Trên 6 giờ/ngày,"Đèn LED, Ấm siêu tốc",Cả ngày,12–16 giờ,Gần như mỗi ngày,Luôn luôn,Tăng nhẹ,880000,180,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,8,40,Tầng 1,Không,Có nhưng ít thông thoáng,Không,0,Không dùng máy lạnh,0 giờ,5,Trên 8 giờ,Có tủ lạnh thường,"Có, nhưng ít",Không,0 lần,Không,Không dùng,Dùng dưới 2 giờ/ngày,"Đèn LED, Ấm siêu tốc",Chủ yếu buổi tối,4–8 giờ,Thỉnh thoảng,Thường xuyên,Tăng nhẹ,390000,110,Dưới 3.000đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Phòng trọ,2,17,Tầng 2,Có,"Có, thông thoáng bình thường",Có,1,27–28°C,2–4 giờ,2,6–8 giờ,Có tủ lạnh mini,"Có, nhưng ít",Có,0 lần,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Máy sấy tóc",Chủ yếu buổi tối,8–12 giờ,Thường xuyên,Thường xuyên,Tăng nhiều,690000,150,3.500–4.000đ/kWh,Công tơ riêng,Tháng 4,Có
Chung cư,2,50,Tầng 4 trở lên,Có,Rất thông thoáng,Có,2,Dưới 24°C,Trên 8 giờ,2,4–6 giờ,Có tủ lạnh lớn,"Có, sử dụng thường xuyên",Có,3–4 lần,Có,30–60 phút,Trên 6 giờ/ngày,"Đèn LED, Tivi, Máy lọc không khí",Cả ngày,Trên 16 giờ,Gần như mỗi ngày,Luôn luôn,Tăng rất nhiều,3100000,670,Trên 4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,24,Tầng 1,Không,Có nhưng ít thông thoáng,Không,0,Không dùng máy lạnh,0 giờ,2,Trên 8 giờ,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Không,0 lần,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Tivi",Chủ yếu buổi tối,8–12 giờ,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,620000,145,3.000–3.500đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Căn hộ mini,2,26,Tầng 4 trở lên,Có,Rất thông thoáng,Có,1,24–26°C,6–8 giờ,1,4–6 giờ,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Có,1–2 lần,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Nồi chiên không dầu",Cả ngày,12–16 giờ,Gần như mỗi ngày,Thường xuyên,Tăng nhiều,1180000,260,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,"Không, ở khoảng 3 tuần"
Phòng trọ,2,19,Tầng 3,Có,"Có, thông thoáng bình thường",Có,1,27–28°C,4–6 giờ,2,6–8 giờ,Có tủ lạnh mini,"Có, nhưng ít",Không,0 lần,Có,Dưới 15 phút,2–4 giờ/ngày,"Đèn LED, Ấm siêu tốc",Chủ yếu buổi tối,8–12 giờ,Thường xuyên,Thường xuyên,Tăng nhẹ,730000,158,3.500–4.000đ/kWh,Công tơ riêng,Tháng 5,Có
Chung cư,4,68,Tầng 4 trở lên,Không,Rất thông thoáng,Có,3,24–26°C,6–8 giờ,5,4–6 giờ,Có tủ lạnh lớn,"Có, sử dụng thường xuyên",Có,5 lần trở lên,Có,Trên 60 phút,4–6 giờ/ngày,"Đèn LED, Tivi, Máy lọc không khí, Lò vi sóng",Không cố định,12–16 giờ,Gần như mỗi ngày,Luôn luôn,Tăng rất nhiều,3550000,760,Trên 4.500đ/kWh,Công tơ riêng,Tháng 5,Có
Ký túc xá,5,32,Tầng 2,Không,Có nhưng ít thông thoáng,Không,0,Không dùng máy lạnh,0 giờ,3,Trên 8 giờ,Có tủ lạnh mini,"Có, nhưng ít",Không,0 lần,Không,Không dùng,Dùng dưới 2 giờ/ngày,Đèn LED,Chủ yếu buổi tối,4–8 giờ,Không,Thường xuyên,Tăng nhẹ,340000,82,Dưới 3.000đ/kWh,Công tơ chung với phòng khác,Tháng 5,Có
Căn hộ mini,1,25,Tầng 4 trở lên,Có,Rất thông thoáng,Có,1,Dưới 24°C,Trên 8 giờ,2,4–6 giờ,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Có,1–2 lần,Có,30–60 phút,Trên 6 giờ/ngày,"Đèn LED, Máy sấy tóc, Nồi chiên không dầu",Cả ngày,Trên 16 giờ,Gần như mỗi ngày,Luôn luôn,Tăng rất nhiều,1680000,355,4.000–4.500đ/kWh,Công tơ riêng,Tháng 5,Có
Nhà nguyên căn,6,75,Tầng 1,Có,"Có, thông thoáng bình thường",Có,2,27–28°C,4–6 giờ,6,Trên 8 giờ,Có tủ lạnh lớn,"Có, sử dụng thường xuyên",Có,5 lần trở lên,Có,30–60 phút,2–4 giờ/ngày,"Đèn LED, Tivi, Loa, Ấm siêu tốc",Không cố định,12–16 giờ,Thường xuyên,Thường xuyên,Tăng nhiều,2950000,640,3.500–4.000đ/kWh,Công tơ riêng,Tháng 5,Có
Phòng trọ,1,11,Tầng trệt,Có,Không có,Không,0,Không dùng máy lạnh,0 giờ,1,4–6 giờ,Không,Không sử dụng,Không,0 lần,Không,Không dùng,Dùng dưới 2 giờ/ngày,Đèn LED,Chủ yếu buổi tối,Dưới 4 giờ,Không,Hiếm khi,Không thay đổi,160000,40,3.000–3.500đ/kWh,Công tơ chung với phòng khác,Tháng 5,"Không, ở khoảng 2 tuần"
Phòng trọ,3,23,Tầng 2,Không,"Có, thông thoáng bình thường",Có,1,24–26°C,2–4 giờ,3,Trên 8 giờ,Có tủ lạnh thường,"Có, nhưng ít",Không,0 lần,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Tivi",Chủ yếu buổi tối,8–12 giờ,Thỉnh thoảng,Thỉnh thoảng,Tăng nhẹ,670000,148,3.500–4.000đ/kWh,Công tơ chung với phòng khác,Tháng 5,Có
Phòng trọ,1,22,Tầng 1,Có,Có nhưng ít thông thoáng,Không,0,Không dùng máy lạnh,0 giờ,2,4–6 giờ,Không,"Có, sử dụng thường xuyên",Có,5 lần trở lên,Không,Không dùng,Dùng dưới 2 giờ/ngày,Lò vi sóng,Chủ yếu buổi tối,8–12 giờ,Thường xuyên,Thường xuyên,Không thay đổi,"45,500",13,3.000–3.500đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Phòng trọ,1,15,Tầng trệt,Có,Rất thông thoáng,Có,1,Trên 28°C,Trên 8 giờ,1,2–4 giờ,Có tủ lạnh thường,Không sử dụng,Có,1–2 lần,Không,Không dùng,Không dùng,Lò vi sóng,Không cố định,12–16 giờ,Thường xuyên,Thường xuyên,Tăng nhiều,"476,000",136,3.500–4.000đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Chung cư,2,37,Tầng 1,Có,"Có, thông thoáng bình thường",Có,1,27–28°C,Dưới 2 giờ,1,2–4 giờ,Có tủ lạnh thường,"Có, nhưng ít",Không,0 lần,Không,Không dùng,Không dùng,"Tivi, Máy lọc không khí, Máy sấy tóc, Ấm siêu tốc",Chủ yếu ban ngày,4–8 giờ,Thường xuyên,Hiếm khi,Tăng rất nhiều,"596,000",149,4.000–4.500đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Căn hộ mini,3,43,Tầng 1,Không,"Có, thông thoáng bình thường",Có,1,Trên 28°C,6–8 giờ,3,2–4 giờ,Không,Không sử dụng,Không,0 lần,Có,Trên 60 phút,4–6 giờ/ngày,"Tivi, Loa, Máy lọc không khí",Cả ngày,12–16 giờ,Gần như mỗi ngày,Hiếm khi,Tăng nhẹ,"580,000",145,4.000–4.500đ/kWh,Không rõ,Tháng 4,Có
Phòng trọ,3,13,Tầng 4 trở lên,Có,Có nhưng ít thông thoáng,Không,0,Không dùng máy lạnh,0 giờ,3,Dưới 2 giờ,Có tủ lạnh lớn,Không sử dụng,Không,0 lần,Có,Dưới 15 phút,Dùng dưới 2 giờ/ngày,"Đèn LED, Tivi, Loa, Ấm siêu tốc",Chủ yếu buổi tối,12–16 giờ,Thỉnh thoảng,Thường xuyên,Tăng rất nhiều,"381,500",109,3.500–4.000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,30,Tầng trệt,Không,Rất thông thoáng,Có,1,Dưới 24°C,2–4 giờ,2,2–4 giờ,Có tủ lạnh thường,Không sử dụng,Có,1–2 lần,Không,Không dùng,4–6 giờ/ngày,"Lò vi sóng, Ấm siêu tốc",Cả ngày,Trên 16 giờ,Gần như mỗi ngày,Thường xuyên,Không thay đổi,"539,000",154,3.000–3.500đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Nhà nguyên căn,4,57,Tầng 1,Có,Rất thông thoáng,Không,0,Không dùng máy lạnh,0 giờ,2,6–8 giờ,Không,Không sử dụng,Có,3–4 lần,Không,Không dùng,2–4 giờ/ngày,"Loa, Máy lọc không khí, Ấm siêu tốc",Cả ngày,Trên 16 giờ,Không,Thỉnh thoảng,Tăng rất nhiều,"440,000",110,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,"Không, ở khoảng 3 tuần"
Chung cư,2,41,Tầng 2,Không,Không có,Có,1,Dưới 24°C,4–6 giờ,3,Trên 8 giờ,Không,Không sử dụng,Có,3–4 lần,Không,Không dùng,4–6 giờ/ngày,"Loa, Máy lọc không khí, Máy sấy tóc, Ấm siêu tốc",Cả ngày,8–12 giờ,Thường xuyên,Thỉnh thoảng,Tăng rất nhiều,"568,000",142,4.000–4.500đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Căn hộ mini,3,30,Tầng 3,Không,"Có, thông thoáng bình thường",Có,1,Dưới 24°C,4–6 giờ,1,2–4 giờ,Có tủ lạnh lớn,"Có, sử dụng thường xuyên",Không,0 lần,Không,Không dùng,Không dùng,"Đèn LED, Máy lọc không khí",Chủ yếu ban ngày,12–16 giờ,Không,Hiếm khi,Không thay đổi,"708,000",177,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Nhà nguyên căn,4,43,Tầng trệt,Có,Không có,Không,0,Không dùng máy lạnh,0 giờ,2,4–6 giờ,Có tủ lạnh lớn,"Có, sử dụng thường xuyên",Không,0 lần,Có,Trên 60 phút,Dùng dưới 2 giờ/ngày,"Ấm siêu tốc, Nồi chiên không dầu",Không cố định,Dưới 4 giờ,Gần như mỗi ngày,Luôn luôn,Tăng nhiều,"524,000",131,4.000–4.500đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Ký túc xá,6,45,Tầng 3,Có,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0 giờ,1,6–8 giờ,Không,"Có, nhưng ít",Có,0 lần,Không,Không dùng,Không dùng,"Máy sấy tóc, Nồi chiên không dầu",Không cố định,Trên 16 giờ,Không,Thường xuyên,Tăng rất nhiều,"512,000",128,4.000–4.500đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Căn hộ mini,1,26,Tầng 3,Có,Có nhưng ít thông thoáng,Có,1,Trên 28°C,4–6 giờ,3,6–8 giờ,Không,"Có, sử dụng thường xuyên",Có,3–4 lần,Có,15–30 phút,Dùng dưới 2 giờ/ngày,"Lò vi sóng, Ấm siêu tốc",Không cố định,12–16 giờ,Không,Thỉnh thoảng,Không thay đổi,"384,000",96,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,22,Tầng 1,Có,Không có,Có,1,Dưới 24°C,Dưới 2 giờ,3,4–6 giờ,Có tủ lạnh lớn,Không sử dụng,Có,1–2 lần,Không,Không dùng,Dùng dưới 2 giờ/ngày,"Ấm siêu tốc, Nồi chiên không dầu",Chủ yếu ban ngày,12–16 giờ,Gần như mỗi ngày,Thường xuyên,Tăng nhẹ,"626,500",179,3.500–4.000đ/kWh,Không rõ,Tháng 4,Có
Phòng trọ,2,13,Tầng 4 trở lên,Có,Không có,Không,0,Không dùng máy lạnh,0 giờ,2,6–8 giờ,Có tủ lạnh thường,Không sử dụng,Không,0 lần,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Loa, Máy sấy tóc",Không cố định,Dưới 4 giờ,Thỉnh thoảng,Thường xuyên,Tăng rất nhiều,"315,000",90,3.500–4.000đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Căn hộ mini,2,54,Tầng 4 trở lên,Có,Rất thông thoáng,Có,1,24–26°C,4–6 giờ,2,Trên 8 giờ,Có tủ lạnh mini,Không sử dụng,Không,0 lần,Có,Trên 60 phút,Trên 6 giờ/ngày,"Lò vi sóng, Ấm siêu tốc",Chủ yếu buổi tối,4–8 giờ,Thỉnh thoảng,Thường xuyên,Tăng nhẹ,"640,000",160,4.000–4.500đ/kWh,Không rõ,Tháng 4,Có
Ký túc xá,8,51,Tầng 3,Có,Không có,Không,0,Không dùng máy lạnh,0 giờ,1,Dưới 2 giờ,Có tủ lạnh mini,"Có, nhưng ít",Không,0 lần,Không,Không dùng,4–6 giờ/ngày,"Tivi, Máy lọc không khí",Không cố định,4–8 giờ,Thỉnh thoảng,Thỉnh thoảng,Tăng rất nhiều,"852,000",213,4.000–4.500đ/kWh,Không rõ,Tháng 4,Có
Căn hộ mini,4,53,Tầng 2,Có,"Có, thông thoáng bình thường",Có,1,Trên 28°C,4–6 giờ,1,Trên 8 giờ,Có tủ lạnh mini,Không sử dụng,Có,3–4 lần,Có,Dưới 15 phút,4–6 giờ/ngày,"Đèn LED, Loa, Ấm siêu tốc",Chủ yếu ban ngày,8–12 giờ,Thường xuyên,Thường xuyên,Không thay đổi,"724,000",181,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,53,Tầng trệt,Có,"Có, thông thoáng bình thường",Có,1,27–28°C,6–8 giờ,2,2–4 giờ,Có tủ lạnh mini,Không sử dụng,Không,0 lần,Không,Không dùng,Dùng dưới 2 giờ/ngày,"Tivi, Máy sấy tóc, Ấm siêu tốc",Chủ yếu buổi tối,Dưới 4 giờ,Thỉnh thoảng,Luôn luôn,Tăng nhiều,"864,000",216,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,59,Tầng 4 trở lên,Không,Không có,Có,1,27–28°C,4–6 giờ,1,4–6 giờ,Không,"Có, sử dụng thường xuyên",Có,0 lần,Không,Không dùng,Không dùng,"Máy lọc không khí, Ấm siêu tốc",Chủ yếu buổi tối,8–12 giờ,Thường xuyên,Hiếm khi,Tăng rất nhiều,"488,000",122,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Nhà nguyên căn,4,25,Tầng trệt,Không,Có nhưng ít thông thoáng,Không,0,Không dùng máy lạnh,0 giờ,3,2–4 giờ,Có tủ lạnh thường,Không sử dụng,Không,0 lần,Không,Không dùng,Dùng dưới 2 giờ/ngày,"Tivi, Lò vi sóng",Không cố định,4–8 giờ,Gần như mỗi ngày,Luôn luôn,Tăng nhẹ,"516,000",129,4.000–4.500đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Phòng trọ,2,20,Tầng 2,Có,"Có, thông thoáng bình thường",Có,1,24–26°C,4–6 giờ,2,Trên 8 giờ,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0 lần,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Ấm siêu tốc",Chủ yếu buổi tối,8–12 giờ,Thường xuyên,Thường xuyên,Tăng nhiều,920000,,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,30,Tầng 3,Không,Rất thông thoáng,Không,Không dùng ,Không dùng máy lạnh,0 giờ,3,6–8 giờ,Không,Không sử dụng,Có,3–4 lần,Có,Dưới 15 phút,2–4 giờ/ngày,Đèn LED,Cả ngày,Trên 16 giờ,Thỉnh thoảng,Thường xuyên,Tăng nhẹ,540000,160,3.000–3.500đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Căn hộ mini,3,35,Tầng 4 trở lên,Có,"Có, thông thoáng bình thường",Có,2,24–26°C,6–8 giờ,2,4–6 giờ,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Có,3–4 lần,Có,30–60 phút,Trên 6 giờ/ngày,"Đèn LED, Tivi, Nồi chiên không dầu",Cả ngày,12–16 giờ,Gần như mỗi ngày,Thỉnh thoảng,Tăng rất nhiều,1850000,420,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,16,Tầng trệt,Không,Có nhưng ít thông thoáng,Không,0,Không dùng máy lạnh,0 giờ,1,6–8 giờ,Có tủ lạnh mini,"Có, nhưng ít",Không,0 lần,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Máy sấy tóc",Chủ yếu buổi tối,4–8 giờ,Thỉnh thoảng,Luôn luôn,Tăng nhẹ,350000,95,3.500–4.000đ/kWh,Công tơ riêng,Tháng 3,Có
Chung cư,4,65,Tầng 4 trở lên,Có,Rất thông thoáng,Có,3,24–26°C,Trên 8 giờ,4,6–8 giờ,Có tủ lạnh lớn,"Có, sử dụng thường xuyên",Có,5 lần trở lên,Có,Trên 60 phút,Trên 6 giờ/ngày,"Đèn LED, Tivi, Máy lọc không khí, Lò vi sóng",Cả ngày,Trên 16 giờ,Gần như mỗi ngày,Thỉnh thoảng,Tăng rất nhiều,3200000,710,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,22,Tầng 1,Có,Có nhưng ít thông thoáng,Có,1,27–28°C,2–4 giờ,2,Trên 8 giờ,Có tủ lạnh mini,"Có, nhưng ít",Không,0 lần,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Ấm siêu tốc",Chủ yếu buổi tối,8–12 giờ,Thỉnh thoảng,Thường xuyên,Tăng nhẹ,780000,190,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
